0.947	0.030
3.080	0.408
5.238	0.930
7.298	1.382
9.000	1.706
11.238	2.091
13.092	2.414
14.937	2.756
17.086	3.078
19.379	3.427
21.187	3.768
23.284	3.981
25.138	4.192
27.100	4.440
28.793	4.638
31.266	4.819
33.300	5.027
35.297	5.267
36.910	5.518
39.203	5.787
41.111	5.976
43.162	6.189
45.054	6.374
47.185	6.573
49.031	6.698
51.243	6.897
53.016	7.021
55.300	7.146
57.199	7.300
58.892	7.341
61.131	7.416
63.288	7.502
65.429	7.572
67.131	7.615
68.887	7.656
70.841	7.698
73.276	7.712
74.953	7.741
77.002	7.742
78.990	7.742
81.348	7.742
82.979	7.742
84.886	7.742
87.153	7.742
