1.048	0.489
2.956	1.162
4.962	2.222
6.959	3.091
9.037	3.657
10.963	4.244
12.951	4.751
14.877	5.319
17.152	5.870
18.934	6.390
20.995	6.845
22.946	7.257
25.115	7.663
26.825	8.025
28.992	8.440
30.918	8.792
32.986	9.143
34.992	9.521
36.918	9.875
38.978	10.257
40.940	10.538
42.937	10.884
44.998	11.149
46.817	11.385
49.048	11.581
50.966	11.830
52.909	11.973
54.934	12.086
57.040	12.242
59.189	12.354
60.891	12.437
63.175	12.478
64.967	12.562
67.099	12.591
68.856	12.591
71.105	12.591
73.193	12.591
75.127	12.605
77.135	12.605
79.132	12.605
80.978	12.604
83.075	12.605
84.956	12.591
87.080	12.591
