0.795	0.281
2.688	0.820
5.026	1.001
7.021	0.509
9.075	0.467
10.989	0.454
13.088	0.436
14.981	0.419
16.884	0.412
18.880	0.412
20.922	0.412
23.053	0.414
24.855	0.414
26.941	0.414
28.699	0.414
30.899	0.416
32.996	0.420
35.061	0.404
36.841	0.390
39.145	0.377
40.903	0.364
42.979	0.350
45.054	0.331
46.985	0.185
48.981	0.147
50.760	0.117
52.847	0.091
54.980	0.074
56.873	0.068
58.960	0.056
60.933	0.044
62.714	0.039
65.005	0.034
67.024	0.030
69.044	0.023
71.270	0.020
73.163	0.005
75.022	0.005
78.454	0.005
80.212	0.005
